age,education_level,experience_years,tech_skill_score,soft_skill_score,career_path
27,3,1,1,3,Mobile Developer
40,1,1,4,5,AI Engineer
35,2,3,1,4,DevOps Engineer
31,2,2,4,5,Database Administrator
28,4,3,4,3,AI Engineer
41,2,6,4,4,Data Scientist
27,1,0,1,1,DevOps Engineer
39,2,5,4,1,DevOps Engineer
43,3,2,1,3,Web Developer
31,3,9,4,5,Database Administrator
31,4,6,5,2,Cybersecurity Analyst
44,1,9,4,3,Software Engineer
41,3,1,2,4,Software Engineer
24,3,1,4,4,UI/UX Designer
28,1,3,3,1,Mobile Developer
44,2,0,4,4,AI Engineer
23,2,2,2,3,Database Administrator
42,4,8,2,4,IT Support
41,2,6,1,3,Mobile Developer
22,1,6,5,2,Web Developer
44,3,3,4,1,DevOps Engineer
32,2,1,1,4,Cybersecurity Analyst
26,4,3,5,3,Database Administrator
22,2,5,4,5,Mobile Developer
41,1,2,3,1,Mobile Developer
21,4,0,4,2,Cybersecurity Analyst
32,2,7,2,3,UI/UX Designer
42,4,4,2,2,AI Engineer
32,1,4,3,2,AI Engineer
37,3,3,1,4,Mobile Developer
30,1,5,5,4,Data Scientist
36,1,2,4,3,Mobile Developer
35,1,8,2,5,Mobile Developer
35,1,4,1,3,Cybersecurity Analyst
39,3,2,3,5,DevOps Engineer
32,3,0,2,2,Cybersecurity Analyst
43,4,9,3,1,Database Administrator
40,2,5,4,3,Mobile Developer
23,3,1,5,3,AI Engineer
25,3,2,2,5,IT Support
39,2,0,2,2,AI Engineer
27,3,8,4,2,Software Engineer
41,1,7,1,5,UI/UX Designer
29,1,1,5,2,Web Developer
27,2,7,2,4,Database Administrator
38,4,8,5,1,Database Administrator
24,4,0,2,3,UI/UX Designer
34,2,4,5,1,IT Support
38,2,7,3,3,Web Developer
29,1,1,2,4,DevOps Engineer
41,4,3,5,2,Mobile Developer
22,3,6,1,5,Web Developer
40,1,2,3,4,IT Support
35,2,4,3,1,Data Scientist
27,4,7,1,5,Software Engineer
32,3,9,5,2,Web Developer
28,3,2,4,4,Web Developer
35,1,3,1,5,Software Engineer
23,4,8,5,4,Mobile Developer
34,4,6,1,4,Web Developer
37,2,0,1,2,Software Engineer
24,4,3,2,3,Software Engineer
38,4,3,5,5,Software Engineer
28,1,8,4,2,Cybersecurity Analyst
24,4,5,2,4,IT Support
22,3,8,1,2,Cybersecurity Analyst
26,1,5,1,3,Data Scientist
42,1,5,1,5,DevOps Engineer
30,2,4,5,3,Cybersecurity Analyst
24,4,4,5,1,Cybersecurity Analyst
42,2,1,2,5,IT Support
38,3,7,4,3,DevOps Engineer
32,1,7,2,4,UI/UX Designer
22,1,0,3,5,Software Engineer
30,1,7,1,5,Database Administrator
24,3,4,1,2,DevOps Engineer
34,3,1,1,4,Data Scientist
36,2,1,2,1,Mobile Developer
35,2,5,2,3,Data Scientist
28,2,8,1,2,Software Engineer
34,4,0,2,3,DevOps Engineer
43,1,5,5,1,Data Scientist
28,1,8,5,1,Data Scientist
41,2,7,2,5,UI/UX Designer
36,1,5,1,1,UI/UX Designer
33,2,2,2,3,DevOps Engineer
38,4,7,2,4,Software Engineer
35,4,8,2,4,Cybersecurity Analyst
41,3,0,3,5,AI Engineer
44,4,8,5,3,Web Developer
33,2,5,4,3,Database Administrator
29,4,5,4,1,Web Developer
35,3,3,3,3,IT Support
33,1,0,2,2,UI/UX Designer
21,2,9,3,1,DevOps Engineer
27,1,7,3,2,Web Developer
29,3,1,1,5,Software Engineer
44,3,0,5,4,Database Administrator
21,3,1,4,5,Web Developer
32,1,0,2,4,Database Administrator
28,1,0,4,5,Mobile Developer
44,1,8,4,3,Software Engineer
31,1,0,5,2,AI Engineer
39,3,3,4,4,Data Scientist
37,3,9,4,1,Database Administrator
28,2,5,3,2,Software Engineer
23,2,6,5,1,Database Administrator
23,1,1,1,2,Database Administrator
21,4,5,2,2,Cybersecurity Analyst
25,4,6,4,5,Cybersecurity Analyst
30,3,9,2,4,Software Engineer
27,3,9,1,4,Cybersecurity Analyst
29,3,1,2,2,IT Support
27,2,1,1,3,AI Engineer
29,2,9,3,3,DevOps Engineer
28,3,6,4,1,Software Engineer
32,3,0,1,1,Software Engineer
22,3,7,2,5,IT Support
21,4,2,4,2,UI/UX Designer
36,2,5,3,1,UI/UX Designer
43,4,8,4,1,Cybersecurity Analyst
43,4,5,1,2,DevOps Engineer
